2017-09-29 10:03:54,508 p=3354 u=jlazaro |    3354 1506704634.50765: starting run
2017-09-29 10:03:54,603 p=3354 u=jlazaro |    3354 1506704634.60313: Loading CacheModule 'memory' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/cache/memory.py
2017-09-29 10:03:54,801 p=3354 u=jlazaro |    3354 1506704634.80140: Loading CallbackModule 'default' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/default.py
2017-09-29 10:03:54,802 p=3354 u=jlazaro |    3354 1506704634.80203: Loading CallbackModule 'actionable' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/actionable.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,802 p=3354 u=jlazaro |    3354 1506704634.80232: Loading CallbackModule 'context_demo' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/context_demo.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,802 p=3354 u=jlazaro |    3354 1506704634.80260: Loading CallbackModule 'debug' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/debug.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,802 p=3354 u=jlazaro |    3354 1506704634.80277: Loading CallbackModule 'default' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/default.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,803 p=3354 u=jlazaro |    3354 1506704634.80322: Loading CallbackModule 'dense' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/dense.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,833 p=3354 u=jlazaro |    3354 1506704634.83341: Loading CallbackModule 'foreman' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/foreman.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,835 p=3354 u=jlazaro |    3354 1506704634.83525: Loading CallbackModule 'hipchat' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/hipchat.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,835 p=3354 u=jlazaro |    3354 1506704634.83561: Loading CallbackModule 'jabber' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/jabber.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,835 p=3354 u=jlazaro |    3354 1506704634.83587: Loading CallbackModule 'json' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/json.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,836 p=3354 u=jlazaro |    3354 1506704634.83629: Loading CallbackModule 'junit' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/junit.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,836 p=3354 u=jlazaro |    3354 1506704634.83657: Loading CallbackModule 'log_plays' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/log_plays.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,837 p=3354 u=jlazaro |    3354 1506704634.83702: Loading CallbackModule 'logentries' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/logentries.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,837 p=3354 u=jlazaro |    3354 1506704634.83739: Loading CallbackModule 'logstash' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/logstash.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,840 p=3354 u=jlazaro |    3354 1506704634.84019: Loading CallbackModule 'mail' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/mail.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,840 p=3354 u=jlazaro |    3354 1506704634.84047: Loading CallbackModule 'minimal' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/minimal.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,840 p=3354 u=jlazaro |    3354 1506704634.84075: Loading CallbackModule 'oneline' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/oneline.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,841 p=3354 u=jlazaro |    3354 1506704634.84104: Loading CallbackModule 'osx_say' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/osx_say.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,841 p=3354 u=jlazaro |    3354 1506704634.84134: Loading CallbackModule 'profile_tasks' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/profile_tasks.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,841 p=3354 u=jlazaro |    3354 1506704634.84164: Loading CallbackModule 'selective' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/selective.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,841 p=3354 u=jlazaro |    3354 1506704634.84189: Loading CallbackModule 'skippy' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/skippy.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,842 p=3354 u=jlazaro |    3354 1506704634.84225: Loading CallbackModule 'slack' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/slack.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,843 p=3354 u=jlazaro |    3354 1506704634.84307: Loading CallbackModule 'syslog_json' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/syslog_json.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,843 p=3354 u=jlazaro |    3354 1506704634.84334: Loading CallbackModule 'timer' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/timer.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,843 p=3354 u=jlazaro |    3354 1506704634.84361: Loading CallbackModule 'tree' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/callback/tree.py (found_in_cache=False, class_only=True)
2017-09-29 10:03:54,843 p=3354 u=jlazaro |    3354 1506704634.84384: in VariableManager get_vars()
2017-09-29 10:03:54,859 p=3354 u=jlazaro |    3354 1506704634.85960: Loading FilterModule 'core' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/core.py
2017-09-29 10:03:54,869 p=3354 u=jlazaro |    3354 1506704634.86983: Loading FilterModule 'ipaddr' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/ipaddr.py
2017-09-29 10:03:54,870 p=3354 u=jlazaro |    3354 1506704634.87021: Loading FilterModule 'json_query' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/json_query.py
2017-09-29 10:03:54,870 p=3354 u=jlazaro |    3354 1506704634.87052: Loading FilterModule 'mathstuff' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/mathstuff.py
2017-09-29 10:03:54,875 p=3354 u=jlazaro |    3354 1506704634.87501: Loading TestModule 'core' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/test/core.py
2017-09-29 10:03:54,875 p=3354 u=jlazaro |    3354 1506704634.87528: Loading TestModule 'files' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/test/files.py
2017-09-29 10:03:54,875 p=3354 u=jlazaro |    3354 1506704634.87554: Loading TestModule 'mathstuff' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/test/mathstuff.py
2017-09-29 10:03:54,878 p=3354 u=jlazaro |    3354 1506704634.87851: done with get_vars()
2017-09-29 10:03:54,879 p=3354 u=jlazaro |    3354 1506704634.87901: in VariableManager get_vars()
2017-09-29 10:03:54,879 p=3354 u=jlazaro |    3354 1506704634.87939: Loading FilterModule 'core' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/core.py (found_in_cache=True, class_only=False)
2017-09-29 10:03:54,879 p=3354 u=jlazaro |    3354 1506704634.87954: Loading FilterModule 'ipaddr' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/ipaddr.py (found_in_cache=True, class_only=False)
2017-09-29 10:03:54,879 p=3354 u=jlazaro |    3354 1506704634.87968: Loading FilterModule 'json_query' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/json_query.py (found_in_cache=True, class_only=False)
2017-09-29 10:03:54,879 p=3354 u=jlazaro |    3354 1506704634.87980: Loading FilterModule 'mathstuff' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/filter/mathstuff.py (found_in_cache=True, class_only=False)
2017-09-29 10:03:54,880 p=3354 u=jlazaro |    3354 1506704634.88007: Loading TestModule 'core' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/test/core.py (found_in_cache=True, class_only=False)
2017-09-29 10:03:54,880 p=3354 u=jlazaro |    3354 1506704634.88020: Loading TestModule 'files' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/test/files.py (found_in_cache=True, class_only=False)
2017-09-29 10:03:54,880 p=3354 u=jlazaro |    3354 1506704634.88032: Loading TestModule 'mathstuff' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/test/mathstuff.py (found_in_cache=True, class_only=False)
2017-09-29 10:03:54,881 p=3354 u=jlazaro |    3354 1506704634.88100: done with get_vars()
2017-09-29 10:03:54,882 p=3354 u=jlazaro |  PLAY [VAULT CONFIGURATION] *****************************************************
2017-09-29 10:03:54,890 p=3354 u=jlazaro |    3354 1506704634.88984: Loading StrategyModule 'linear' from /home/jlazaro/VENV/py27_venv/local/lib/python2.7/site-packages/ansible/plugins/strategy/linear.py
2017-09-29 10:03:54,892 p=3354 u=jlazaro |    3354 1506704634.89260: getting the remaining hosts for this loop
2017-09-29 10:03:54,892 p=3354 u=jlazaro |    3354 1506704634.89276: done getting the remaining hosts for this loop
2017-09-29 10:03:54,892 p=3354 u=jlazaro |    3354 1506704634.89289: building list of next tasks for hosts
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89300: getting the next task for host pynet-rtr1
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89314: done getting next task for host pynet-rtr1
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89326:  ^ task is: TASK: meta (flush_handlers)
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89337:  ^ state is: HOST STATE: block=1, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89348: getting the next task for host pynet-rtr2
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89360: done getting next task for host pynet-rtr2
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89371:  ^ task is: TASK: meta (flush_handlers)
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89382:  ^ state is: HOST STATE: block=1, task=1, rescue=0, always=0, run_state=ITERATING_TASKS, fail_state=FAILED_NONE, pending_setup=False, tasks child state? (None), rescue child state? (None), always child state? (None), did rescue? False, did start at task? False
2017-09-29 10:03:54,893 p=3354 u=jlazaro |    3354 1506704634.89392: done building task lists
2017-09-29 10:03:54,894 p=3354 u=jlazaro |    3354 1506704634.89402: counting tasks in each state of execution
2017-09-29 10:03:54,894 p=3354 u=jlazaro |    3354 1506704634.89413: done counting tasks in each state of execution:
	num_setups: 0
	num_tasks: 2
	num_rescue: 0
	num_always: 0
2017-09-29 10:03:54,894 p=3354 u=jlazaro |    3354 1506704634.89423: advancing hosts in ITERATING_TASKS
